publication_view.author;publication_view.publication_title;publication_view.publication_year
Arzarello, M., Peretto, C., Moncel, M.-H.;The Pirro Nord site (Apricena, Fg, Southern Italy) in the context of the first European peopling: Convergences and divergences;2015;
Ascenzi, A., Biddittu, I., Cassoli, P.F., Segre, A.G., Segre-Naldini, E.;A calvarium of late Homo erectus from Ceprano, Italy;1996;
Ascenzi, A., Segre, A.G.;A New Neandertal Child Mandible from an Upper Pleistocene Site in Southern Italy;1971;
Ascenzi, A., Segre, A.G.;Artefacts and human teeth at the Fontana Ranuccio Middle Pleistocene site (central Italy);1996;
Asfaw, B.;A new hominid parietal from Bodo, middle Awash Valley, Ethiopia;1983;
Asfaw, B., Beyene, Y., Suwa, G., Walter, R.C., White, T.D., WoldeGabriel, G., Yemane, T.;The earliest Acheulean from Konso-Gardula;1992;
Asfaw, B., Gilbert, W.H., Beyene, Y., Hart, W.K., Renne, P.R., WoldeGabriel, G., Vrba, E.S., White, T.D.;Remains of Homo erectus from Bouri, Middle Awash, Ethiopia;2002;
Ashton, N.;The human occupation of Britain during the Hoxnian Interglacial;2016;
Ashton, N., Lewis, S., De Groote, I., Duffy, S.M., Bates, M., Bates, R., Hoare, P.G., Lewis, M.D., Parfitt, S., Peglar, S.A., Williams, C., Stringer, C.;Hominin Footprints from Early Pleistocene Deposits at Happisburgh, UK;2014;
Ashton, N., Lewis, S.G.;The environmental contexts of early human occupation of northwest Europe: The British Lower Palaeolithic record;2012;
Ashton, N., Lewis, S.G., Parfitt, S.A., Penkman, K.E.H., Coope, G.R.;New evidence for complex climate change in MIS 11 from Hoxne, Suffolk;2008;
Ashton, N., Scott, B.;The British Middle Palaeolithic;2016;
Asouti, E., Ntinou, M., Kabukcu, C.;The impact of environmental change on Palaeolithic and Mesolithic plant use and the transition to agriculture at Franchthi Cave, Greece;2018;
Assefa, Z., Yirga, S., Reed, K.E.;The large-mammal fauna from the Kibish Formation;2008;
Astakhov, S.N.;Paleolit Eniseya [The Palaeolithic of Enisey];1999;
Aubry, T., Barbosa, A.F., Gameiro, C., Luís, L., Matias, H., Santos, A.T., Silvestre, M.;De regresso à Cardina 13 anos depois: resultados preliminares dos trabalhos arqueológicos de 2014 no Vale do Côa;2015;
Aubry, T., Dimuccio, L.A., Barbosa, A.F., Luís, L., Santos, A.T., Silvestre, M., Thomsen, K.J., Rades, E., Autzen, M., Murray, A.S.;Timing of the Middle-to-Upper Palaeolithic transition in the Iberian inland (Cardina-Salto do Boi, Côa Valley, Portugal);2020;
Aubry, T., Gameiro, C., Santos, A.T., Luís, L.;Existe Azilense em Portugal? Novos dados sobre o Tardiglaciar e o Pré-Boreal no Vale do Côa;2017;
Auguste, P.;Chasse et charognage au Paléolithique moyen: L'Apport du gisement de Biache-Saint-Vaast (Pas-De-Calais);1995;
Auguste, P., Crepin, L., Daschek, E., Lacombat, F., Liouville, M., Pautret-Hoerville, C., Patou-Mathis, M., Pean, S., Moncel, M.-H.;Les ensembles ou unites archeostratigraphiques F et E (Payre);2008;
Auguste, Patrick;Etude des restes osseux des grands Mammifères des niveaux D, D1, IIbase;1989;
Aureli, D., Contardi, A., Giaccio, B., Jicha, B., Lemorini, C., Madonna, S., Magri, D., Marano, F., Milli, S., Modesti, V., Palombo, M.R., Rocca, R.;Palaeoloxodon and Human Interaction: Depositional Setting, Chronology and Archaeology at the Middle Pleistocene Ficoncella Site (Tarquinia, Italy);2015;
Aureli, D., Contardi, A., Giaccio, B., Modesti, V., Palombo, M.R., Rozzi, R., Sposato, A., Trucco, F.;Straight-tusked elephants in the Middle Pleistocene of northern Latium: Preliminary report on the Ficoncella site (Tarquinia, central Italy);2012;
Aureli, D., Rocca, R., Lemorini, C., Modesti, V., Scaramucci, S., Milli, S., Giaccio, B., Marano, F., Palombo, M.R., Contardi, A.;Mode 1 or mode 2? "Small tools" in the technical variability of the European Lower Palaeolithic: The site of Ficoncella (Tarquinia, Lazio, central Italy);2016;
Aureli, D., Ronchitelli, A.;The Lower Tyrrhenian Versant: was it a techno-cultural area during the Middle Palaeolithic? Evolution of the lithic industries of the Riparo del Molare sequence in the frame of Neanderthal peopling dynamics in Italy;2018;
Averdieck, F.-R.;Die Vegetationsentwicklung des Eem-Interglazials und der Frühwürm-Interstadiale von Odderade/Schleswig-Holstein;1967;
Avery, D.M.;An assessment of the Lower Pleistocene micromammalian fauna from Swartkrans members 1-3, Gauteng, South Africa;1998;
Avery, D.M.;Early and Middle Pleistocene environments and hominid biogeography; micromammalian evidence from Kabwe,Twin Rivers and Mumbwa Caves in central Zambia;2003;
Avery, D.M.;Micromammals and environmental change at Zebrarivier Cave, Central Namibia;1984;
Avery, D.M.;Micromammals as palaeoenvironmental indicators and an interpretation of the late Quartenary in the southern Cape Province, South Africa;1982;
Avery, D.M.;Southern savannas and Pleistocene Hominid adaptations: the micromammalian perspective;1995;
Avery, D.M.;The Plio-Pleistocene vegetation and climate of Sterkfontein and Swartkrans, South Africa, based on micromammals;2001;
Avery, G.;Coastal birds and prehistory in the Western Cape;1987;
Avery, G., Cruz-Uribe, K., Goldberg, P., Grine, F.E., Klein, R.G., Lenardi, M.J., Marean, C.W., Rink, W.J., Schwarcz, H.P., Thackeray, A.I., Wilson, M.L.;The 1992-1993 Excavations at the Die Kelders Middle and Later Stone Age Cave Site, South Africa;1997;
Avery, G., Halkett, D., Orton, J., Steele, T., Tusenius, M., Klein, R.;The Ysterfontein 1 Middle Stone Age Rock Shelter and the Evolution of Coastal Foraging;2008;
Azoury, I., Bergman, C.A., Copeland, L.;Ksar Akil, Lebanon: Technological and Typological Analysis of the Transitional and Upper Palaeolithic, Vol. 1;1986;
Azoury, I., Hodson, F.R.;Comparing palaeolithic assemblages: Ksar akil, a case study;1973;
Baales, M.;Umwelt und Jagdökonomie der Ahrensburger Rentierjäger im Mittelgebirge;1996;
Baba, H., Aziz, F.;Hominid Skull Fragments found in 1979 from Sangiran, Central Java;1991;
Baba, H., Aziz, F., Kaifu, Y.;Morphological Affinities and Evolutionary Significance of Sangiran 17;1982;
Baba, H., Aziz, F., Kaifu, Y., Suwa, G., Kono, R.T., Jacob, T.;Homo erectus Calvarium from the Pleistocene of Java;2003;
Baba, H., Aziz, F., Narasaki, S., Sudijono, Kaifu, Y., Suprijo, A., Hyodo, M., Susanto, E.E., Jacob, T.;A new hominid incisor from Sangiran, Central Java;2000;
Bachechi, L., Revedin, A.;I livelli musteriani di Grotta dei Fanciulli (Liguria, Italia);1996;
Bachechi, L., Revedin, A.;Il Gravettiano di Grotta della Calanca a Marina di Camerota (Salerno);1993;
Bachellerie, F.;Quelle unité pour le Chatelpérronien? Apport de l'analyse taphonomique et techno-économique des industries lithiques de trois gisements aquitains de plein air: le Baste, Bidart (Pyrenees-Atlantiques) et Canaule II (Dordogne);2011;
Bachellerie, F., Normand, C.;Le Chatelperronien du niveau SIII base d'Isturitz (Saint-Martin-d'Arberoue, Pyrenees-Atlantiques): mythe ou realite?;2010;
Bachheimer, J.P.;An anomaly in the b phase near the a-b transition of quartz;1980;
Bachner, M., Mateiciucová, I., Trnka, G.;Die Spätaurignacien-Station Alberndorf im Pulkautal, NÖ;1996;
Bachofen-Echt, A.;Verwendung der Höhlenbärenzähne durch den Menschen;1931;
Backwell, L., d'Errico, F.;Early hominid bone tools from Drimolen, South Africa;2008;
Backwell, L., d'Errico, F., Wadley, L.;Middle Stone Age bone tools from the Howiesons Poort layers, Sibudu Cave, South Africa;2008;
Backwell, L.R., McCarthy, T.S., Wadley, L., Henderson, Z., Steininger, C.M., deKlerk, B., Barré, M., Lamothe, M., Chase, B.M., Woodborne, S., Susino, G.J., Bamford, M.K., Sievers, C., Brink, J.S., Rossouw, L., Pollarolo, L., Trower, G., Scott, L., d'Errico, F.;Multiproxy record of late Quaternary climate change and Middle Stone Age human occupation at Wonderkrater, South Africa;2014;
Backwell, L.R., d'Errico, F.;Additional evidence on the early hominid bone tools from Swartkrans with reference to the spatial distribution of lithic and organic artefacts;2003;
Backwell, L.R., d'Errico, F., Banks, W.E., de la Peña, P., Sievers, C., Stratford, D., Lennox, S.J., Wojcieszak, M., Bordy, E.M., Bradfield, J., Wadley, L.;New Excavations at Border Cave, KwaZulu-Natal, South Africa;2018;
Bacon, A.-M., Demeter, F., Duringer, P., Helm, C., Bano, M., Long, V.T., Thuy, N.T.K., Antoine, P.-O., Mai, B.T., Huong, N.T.M., Dodo, Y., Chabaux, F., Rihs, S.;The Late Pleistocene Duoi U'Oi cave in northern Vietnam: palaeontology, sedimentology, taphonomy and palaeoenvironments;2008;
Bacon, A.-M., Demeter, F., Roussé, S., Long, V.T., Duringer, P., Antoine, P.-O., Thuy, N.K., Mai, B.T., Huong, N.M., Dodo, Y., Matsumura, H., Schuster, M., Anezaki, T.;New palaeontological assemblage, sedimentological and chronological data from the pleistocene Ma U Oi cave (Northern Vietnam);2006;
Bacon, A.-M., Duringer, P., Antoine, P.-O., Demeter, F., Shackelford, L., Sayavongkhamdy, T., Sichanthongtip, P., Khamdalavong, P., Nokhamaomphu, S., Sysuphanh, V.;The Middle Pleistocene mammalian fauna from Tam Hang karstic deposit, northern Laos: new data and evolutionary hypothesis;2011;
Badenhorst, S., Plug, I.;The faunal remains from the middle stone age levels of Bushman Rock Shelter in South Africa;2012;
Badenhorst, S., Sénégas, F., Gommery, D., Potze, S., Kgasi, L., Thackery, J.F.;Pleistocene faunal remains from Garage Ravine Cave on Bolt's Farm in the Cradle of Humankind, South Africa;2011;
Bader, G.D., Cable, C., Lentfer, C., Conard, N.J.;Umbeli Belli Rock Shelter, a forgotten piece from the puzzle of the Middle Stone Age in KwaZulu-Natal, South Africa;2016;
Bader, G.D., Tribolo, C., Conard, N.J.;A return to Umbeli Belli: New insights of recent excavations and implications for the final MSA of eastern South Africa;2018;
Bader, O.N.;Sunghir' - verkhnepaleoliticheskaya stoyanka [Sunghir - Upper Palaeolithic site];1978;
Bae, C.J.;Pleistocene cave sites in Korea: Importance to paleoanthropology?;2014;
Bae, C.J.;The late Middle Pleistocene hominin fossil record of eastern Asia: Synthesis and review;2010;
Bae, C.J., Wang, W., Zhao, J., Huang, S., Tian, F., Shen, G.;Modern human teeth from Late Pleistocene Luna Cave (Guangxi, China);2014;
Baffier, D., Girard, M.;Le karst d'Arcy-sur-Cure (Yonne) et ses occupations humaines paléolithiques [The karst of Arcy-sur-Cure (Yonne) and its palaeolithic human occupations.];1997;
Bahain, J.-J., Falguères, C., Dolo, J.-M., Antoine, P., Auguste, P., Limondin-Lozouet, N., Locht, J.-L., Tuffreau, A., Tissoux, H., Farkh, S.;ESR/U-series dating of teeth recovered from well-stratigraphically age-controlled sequences from Northern France;2010;
Bahain, J.-J., Falguères, C., Laurent, M., Dolo, J.-M., Shao, Q., Auguste, P., Tuffreau, A.;ESR/U-series dating of faunal remains from the paleoanthropological site of Biache-Saint-Vaast (Pas-de-Calais, France);2015;
Bahain, J.-J., Farkh, S., Falguères, C., Shao, Q., Voinchet, P., Ghaleb, B., Hérisson, D., Locht, J.-L., Limondin-Lozouet, N., Auguste, P., Dabkowski, J., Deschodt, L., Antoine, P.;ESR/U-series dating Eemian human occupations of Northern France;2021;
Bahain, J.-J., Limondin-Lozouet, N., Antoine, P., Voinchet, P.;Réexamen du contexte géologique, chrono- et biostratigraphique du site de Moulin Quignon à Abbeville (Vallée de la Somme, France);2016;
Bahain, J.-J., Sarcia, M.N., Falguères, C., Yokoyama, Y.;Attempt at ESR Dating of Tooth Enamel of French Middle Pleistocene Sites;1993;
Bailey, G.;The Palaeolithic of Klithi in its wider context;1992;
Bailey, G., Papaconstantinou, V., Sturdy, D.;Asprochaliko and Kokkinopilos: TL Dating and Reinterpretation of Middle Palaeolithic Sites in Epirus, North-West Greece;1992;
Bailey, G., Woodward, J.;The Klithi deposits: sedimentology, stratigraphy and chronology;1997;
Bailey, G.N., Carter, P.L., Gamble, C.S., Higgs, H.P.;Asprochaliko and Kastritsa: Further Investigations of Palaeolithic Settlement and Economy in Epirus (North-West Greece);1983;
Bailey, S., Glantz, M., Weaver, T.D., Viola, B.;The affinity of the dental remains from Obi-Rakhmat Grotto, Uzbekistan;2008;
Bailey, S.E., Hublin, J.-J.;Dental remains from the Grotte du Renne at Arcy-sur-Cure (Yonne);2006;
Bailey, S.E., Hublin, J.-J.;Who made the Early Aurignacian? A reconsideration of the Brassempouy dental remains;2005;
Bailey, S.E., Weaver, T.D., Hublin, J.-J.;Who made the Aurignacian and other early Upper Paleolithic industries?;2009;
Bailleau, G.J.;Grotte des fées de Chatelperron (1869);1869;
Bailleau, G.J.;Grotte des fées de Chatelperron (1870);1870;
Bailloud, G.;Note préliminaire sur l'industrie des niveaux supérieurs de la Grotte du Renne, à Arcy-sur-Cure (Yonne);1953;
Baines, J.A., Riehl, S., Zeidi-Kulehparcheh, M., Conard, N.J.;Upper Palaeolithic archaeobotany of Ghar-e Boof cave, Iran:a case study in site disturbance and methodology;2015;
Baissas, P.;Données paléomagnétiques et sédimentologiques sur les dépôts de la coupe de Loreto, Venosa;1980;
Bakels, C.C.;A reconstruction of the vegetation in and around the Neumark-Nord 2 basin, based on a pollen diagram from the key section HP7 supplemented by section HP10;2014;
Baker, B.H., Mitchell, J.G., Williams, L.A.J.;Stratigraphy, geochronology and volcano-tectonic evolution of the Kedong-Naivasha-Kinangop region, Gregory Rift Valley, Kenya;1988;
Bakken, D.A.;Taphonomic parameters of Pleistocene hominid sites in China;1997;
Baldeón, A.;El abrigo de Axlor (Bizkaia, Pais Vasco). Las industrias liticas de sus niveles Musterienses;1999;
Baldeón, A.;El yacimiento de Lezetxiki (Guipuzkoa, País Vasco): los niveles musterienses;1993;
Balkan-Atli, N., Aprahamian, G.;Les nucleus de Kaletepe et deux ateliers de taille en Cappadoce;1998;
Balkan-Atli, N., Binder, D.;Kaletepe 2002;2003;
Balout, L.;L'Abri André Ragout au Bois-du-Roc (Vilhonneur, Charente). Fouilles de 1957;1957;
Balout, L.;Le Bois-du-Roc. Abri du Chasseur;1965;
Balout, L., Biberson, P., Tixier, J.;L'Acheuleen de Ternifine (Algerie), gisement de l'Atlanthrope;1967;
Balter, V., Blichert-Toft, J., Braga, J., Telouk, P., Thackeray, F., Albarède, F.;U-Pb dating of fossil enamel from the Swartkrans Pleistocene hominid site, South Africa;2008;
Balzeau, A., Grimaud-Hervé, D., Jacob, T.;Internal cranial features of the Mojokerto child fossil (East Java, Indonesia);2005;
Bamford, M.K.;Fossil sedges, macroplants, and roots from Olduvai Gorge, Tanzania;2012;
Bamford, M.K.;Pre- and post-depositional alteration of botanical macro-remains: A case study from Olduvai Gorge, Tanzania;2012;
Bamford, M.K., Henderson, Z.L.;A reassessment of the wooden fragment from Florisbad, South Africa;2003;
Banda, M., Karavanic, I.;The Mousterian industry of Veternica Cave;2019;
Bandet, Y., Semah, F., Sartono, S., Djubiantono, T.;Final Pliocene mammal settlement in East Java: age of the Gunung Butak fauna, in the Kedungbrubus area, Indonesia;1989;
Banks, W.E.;Toolkit structure and site use: Results of a high-power use-wear analysis of lithic assemblages from Solutré (Saône-et-Loire), France;2004;
Baofeng, C., Renyi, F., Jingyu, L., Hongkuan, W., Zhenhong, Z., Mingye, Z., Weiwen, H.;Bone artifacts, ornaments from Xiaogushan Site of Haicheng, Liaoning Province;1986;
Baofeng, C., Renyi, F., Weiwen, H., Jingyu, L., Hongkuan, W., Mingye, Z., Zhenhong, Z.;A preliminary report on the excavation of Paleolithic site at Xiaogushan of Haicheng, Liaoning Province;1985;
Bar-Oz, G., Belfer-Cohen, A., Meshveliani, T., Djakeli, N., Bar-Yosef, O.;Taphonomy and zooarchaeology of the Upper Palaeolithic cave of Dzudzuana, Republic of Georgia;2008;
Bar-Yosef Mayer, D.E., Vandermeersch, B., Bar-Yosef, O.;Shells and ochre in Middle Paleolithic Qafzeh Cave, Israel: indications for modern behavior;2009;
Bar-Yosef, O., Arnold, M., Mercier, N., Belfer-Cohen, A., Goldberg, P., Housley, R., Laville, H., Meignen, L., Vogel, J.C., Vandermeersch, B.;The Dating of the Upper Paleolithic Layers in Kebara Cave, Mt Carmel;1996;
Bar-Yosef, O., Belfer-Cohen, A.;The Aurignacien at Hayonim Cave;1981;
Bar-Yosef, O., Belfer-Cohen, A.;The Qafzeh upper Paleolithic assemblages: 70 years later;2004;
Bar-Yosef, O., Belfer-Cohen, A.;The Upper Paleolithic Industries of Kebara Cave;2020;
Bar-Yosef, O., Belfer-Cohen, A., Adler, D.S.;The implications of the Middle-Upper Paleolithic chronological boundary in the Caucasus to Eurasian prehistory;2006;
Bar-Yosef, O., Belfer-Cohen, A., Meshveliani, T., Jakeli, N., Bar-Oz, G., Boaretto, E., Goldberg, P., Kvavadze, E., Matskevich, Z.;Dzudzuana: an Upper Palaeolithic cave site in the Caucasus foothills (Georgia);2011;
Bar-Yosef, O., Goren-Inbar, N., Gilead, I.;The lithic assemblages of Ubeidiya: a Lower Palaeolithic site in the Jordan Valley;1993;
Bar-Yosef, O., Tchernov, E.;On the Palaeo-Ecological History of the Site of 'Ubeidiya;1972;
Bar-Yosef, O., Vandermeersch, B., Arensburg, B., Belfer-Cohen, A., Goldberg, P., Laville, H., Meignen, L., Rak, Y., Speth, J.D., Tchernov, E., Tillier, A.-M., Weiner, S.;The Excavations in Kebara Cave, Mt. Carmel;1992;
Bar-Yosef-Mayer, D.E.;The Use of Mollusc Shells by Fisher-Hunter-Gatherers at Ohalo II;2002;
Barandiaran, J.M.;Exploracion de la cueva de Lezetxiki (campana de 1962);1963;
Barash, A., Belmaker, M., Bastir, M., Soudack, M., O’Brien, H.D., Woodward, H., Prendergast, A., Barzilai, O., Been, E.;The earliest Pleistocene record of a large-bodied hominin from the Levant supports two out-of-Africa dispersal events;2022;
Barciela, V., Blasco, R., Cuartero, F., Fernández Peris, J., Hortelano, L., Sañudo, P.;Cova del Bolomor. 25 años en busca de un tiempo perdido;2013;
Bard, J.-P.;Origine des matériaux utilisés par les Moustériens de la grotte de l'Hortus;1972;
Barham, L.;Backed tools in Middle Pleistocene central Africa and their evolutionary significance;2002;
