assemblage.name;assemblage.category;country_continent.continent;locality.idlocality;locality.x;locality.y
Rietheuvel Member Inventar;raw material, technology, typology;Africa;Amanzi springs;25.483;-33.7;
Amersfoort_P;plant remains;Europe;Amersfoort;5.38;52.15;
Amud Lithics Layer B1;feature, raw material, technology, typology;Asia;Amud Cave;35.5016;32.87213;
Amud Lithics Layer B2;feature, raw material, technology, typology;Asia;Amud Cave;35.5016;32.87213;
Amud Lithics Layer B4;raw material, technology, typology;Asia;Amud Cave;35.5016;32.87213;
Human remain 1;human remains;Asia;Amur River Basin AR19K;126.15;46;
Human remain 1;human remains;Asia;Amur River Basin AR33K;127.03;45.4;
Andance Unit 5 Lower Pedocomplex Archaeological Assemblage;raw material, typology, technology;Europe;Andance;4.686993;44.68264;
Ang-1/a;plant remains;Asia;Angeghakot-1;45.929016;39.573016;
Ang-2/a;plant remains;Asia;Angeghakot-2;45.930964;39.573154;
Anghilak Cave stratum IV human remains;human remains;Asia;Anghilak Cave;66.6869;39.2853;
Mousterian Level 9;function, raw material, technology, typology;Europe;Angé;1.254838;47.294755;
Antu Layer 1 fauna;paleofauna;Asia;Antu;128.933333;43.083333;
Antu Layer 2 fauna;paleofauna;Asia;Antu;128.933333;43.083333;
Antu Layer 3 fauna;paleofauna;Asia;Antu;128.933333;43.083333;
Antu Layer 4 fauna;paleofauna;Asia;Antu;128.933333;43.083333;
Antu human remains;human remains;Asia;Antu;128.933333;43.083333;
Anui 2 Level 10;raw material, technology, typology;Asia;Anui 2;84.6766;51.3972;
Anui 2 Level 11;organic tools, raw material, symbolic artifacts, technology, typology;Asia;Anui 2;84.6766;51.3972;
Anui 2 Level 12;raw material, technology, typology;Asia;Anui 2;84.6766;51.3972;
Anui 2 Level 6;raw material, technology, typology;Asia;Anui 2;84.6766;51.3972;
Anui 2 Level 7;raw material, technology, typology;Asia;Anui 2;84.6766;51.3972;
Anui 2 Level 8;raw material, technology, typology;Asia;Anui 2;84.6766;51.3972;
Anui 2 Level 9;raw material, technology, typology;Asia;Anui 2;84.6766;51.3972;
Anui 2 Levels 1-5;raw material, technology, typology;Asia;Anui 2;84.6766;51.3972;
Anyskop CALC ESA;raw material, technology, typology;Africa;Anyskop_Blowout;18.114;-32.971;
Anyskop CALC Fauna;paleofauna;Africa;Anyskop_Blowout;18.114;-32.971;
Anyskop CALC MSA;raw material, technology, typology;Africa;Anyskop_Blowout;18.114;-32.971;
Anyskop HP Inventar;raw material, technology, typology;Africa;Anyskop_Blowout;18.114;-32.971;
Anyskop LSA Fauna;paleofauna;Africa;Anyskop_Blowout;18.114;-32.971;
Anyskop SB Inventar;raw material, technology, typology;Africa;Anyskop_Blowout;18.114;-32.971;
Apollo 11 Layer E Archaeological Assemblage;raw material, typology, technology, function, symbolic artifacts, miscellaneous finds;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer F Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer G Archaeological Assemblage;feature, miscellaneous finds, organic tools, raw material, technology, typology;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer G Fauna;paleofauna;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer H Fauna;paleofauna;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer H lower Archaeological Assemblage;raw material, typology, technology, miscellaneous finds;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Layer H upper Archaeological Assemblage;raw material, typology, technology, miscellaneous finds;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Plant Remains Early LSA;plant remains;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Plant Remains Early MSA I;plant remains;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Plant Remains Early MSA II;plant remains;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Plant Remains Howiesons Poort;plant remains;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Plant Remains Late MSA I;plant remains;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Plant Remains Late MSA II & III;plant remains;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Plant Remains Still Bay;plant remains;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Plant Remains settlement gap after Still Bay;plant remains;Africa;Apollo 11;17.117286;-27.701215;
Apollo 11 Plant Remains settlement gap before Still Bay;plant remains;Africa;Apollo 11;17.117286;-27.701215;
Arba survey finds;raw material, technology, typology;Africa;Arba;;;
Archeuli-1;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-10;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-11;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-12;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-2;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-3;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-4;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-5;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-6;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-7;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-8;plant remains;Asia;Archeuli;41.923531;42.061392;
Archeuli-9;plant remains;Asia;Archeuli;41.923531;42.061392;
Archi, B, malacofauna;paleofauna;Europe;Archi;16.26;39.29;
Archi, C2, malacofauna;paleofauna;Europe;Archi;16.26;39.29;
Archi, C3, Fauna;paleofauna;Europe;Archi;16.26;39.29;
Archi, C3, malacofauna;paleofauna;Europe;Archi;16.26;39.29;
Archi, D1, malacofauna;paleofauna;Europe;Archi;16.26;39.29;
Archi, D2, Fauna;paleofauna;Europe;Archi;16.26;39.29;
Archi, human remains;human remains;Europe;Archi;16.26;39.29;
Hyène level 29 serie noire non-roulée (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level 30 serie noire roulée (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level IVa (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level IVb1 (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level IVb2 (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level IVb3 (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level IVb4 (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level IVb5 (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level IVb6 (lithics);human remains, raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level IVb7 (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level V series brune non-roulée (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level V series rouge non-roulée (lithics);technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Hyène level V series rouge roulée (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte de l_Hyène;3.763022;47.590457;
Arcy-sur-Cure - Grotte du Bison Unit B Fauna;animal remains, paleofauna;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Arcy-sur-Cure - Grotte du Bison Unit C Fauna;animal remains, paleofauna;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Arcy-sur-Cure - Grotte du Bison Unit D Fauna;animal remains, paleofauna;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Arcy-sur-Cure - Grotte du Bison Unit I Fauna;animal remains, paleofauna;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grott du Bison Unit I human remains 01;human remains;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grott du Bison Unit I human remains 02;human remains;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grott du Bison Unit I human remains 03;human remains;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grott du Bison Unit I human remains 04;human remains;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit D occupation (lithics);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit E occupation (lithics NEW);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit E occupation (lithics OLD);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit F occupation (lithics NEW);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit F occupation (lithics OLD);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit G occupation (lithics NEW);technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit G occupation (lithics OLD);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit H occupation (lithics NEW);technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit H occupation (lithics OLD);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit I occupation (lithics NEW);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit I occupation (lithics OLD);raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit J occupation (lithics NEW);feature, miscellaneous finds, organic tools, raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Grotte du Bison Unit J occupation (lithics OLD);technology, typology;Europe;Arcy-sur-Cure - Grotte du Bison;3.762524;47.590571;
Arcy-sur-Cure - Grotte du Renne Layer Xc Fauna;animal remains, paleofauna;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer IV occupation;miscellaneous finds;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer IX occupation;human remains, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer V occupation;feature, miscellaneous finds, organic tools, raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer VI occupation;miscellaneous finds, organic tools, symbolic artifacts, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer VII occupation;human remains, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer VIII occupation;human remains, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer X occupation;feature, human remains, miscellaneous finds, organic tools, symbolic artifacts;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer X occupation (NEW);raw material, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer XI occupation;human remains, miscellaneous finds, organic tools, raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer XII occupation;feature, miscellaneous finds, organic tools, raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer XIII occupation;raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer XIV occupation;raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer Xa occupation;raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer Xb occupation;raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Renne Layer Xc occupation;raw material, technology, typology;Europe;Arcy-sur-Cure - Grotte du Renne;3.762754;47.590598;
Arene Candide Layer P1-P9 finds;typology;Europe;Arene Candide;8.331649;44.164327;
Arene Candide Layer P10 finds;typology;Europe;Arene Candide;8.331649;44.164327;
Arene Candide layer P10 human remains 1;human remains;Europe;Arene Candide;8.331649;44.164327;
Ariendorf 1 Artifacts;animal remains, raw material, technology, typology;Europe;Ariendorf;7.3;50.5166667;
Ariendorf 1 fauna;paleofauna;Europe;Ariendorf;7.3;50.5166667;
Ariendorf 2 Artifacts;animal remains, raw material, technology, typology;Europe;Ariendorf;7.3;50.5166667;
Ariendorf 2 fauna;paleofauna;Europe;Ariendorf;7.3;50.5166667;
Ariendorf 3 Artifacts;animal remains, raw material, technology, typology;Europe;Ariendorf;7.3;50.5166667;
Ariendorf 3 fauna;paleofauna;Europe;Ariendorf;7.3;50.5166667;
Ariendorf channel-infill fauna;paleofauna;Europe;Ariendorf;7.3;50.5166667;
lithic inventar;raw material, technology, typology;Africa;Arkin 5;31.3666667;21.7833333;
excavation inventar;raw material, technology, typology;Africa;Arkin 8;31.3666667;21.7833333;
Arlanpe H29/G29-1;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe H29/G29-10;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe H29/G29-2;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe H29/G29-3;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe H29/G29-4;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe H29/G29-5;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe H29/G29-6;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe H29/G29-7;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe H29/G29-8;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe H29/G29-9;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe J20-1;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe J20-2;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe J20-5;plant remains;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level 2;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level 2 Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level 2 Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level A Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level A Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level A-B Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level A-B Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level B Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level B Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level I;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level I Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level I Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level I-II Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level I-II Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level II;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level II Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level II Malacofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level II Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level II-IV Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level II-IV Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level III;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level V-VI Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe Level V-VI Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ1 Level VII Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ1 Level VII Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ2 Level 4 Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ2 Level 4 Malacofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ2 Level 4 Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ2 Level VI Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ2 Level VI Malacofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ2 Level VI Micromammals;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ2 level 4 fauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ2 level 5 fauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ2 level VI fauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ3 Level 3 Herpetofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
Arlanpe SQ3 Level 3 Malacofauna;paleofauna;Europe;Arlanpe;-2.763036;43.192885;
